,Timestamp,Gender,Age,District,Job,Education,MaritalStatus,MonthlySalary,MobilePhone,BankAccounts,AwareOfMobileBankingApps,Place,MobileBanking,Reasons,TransactionFrequency,TransactionMethods,FullyAwareOfMobileBanking,PreferOtherMethods,NotComfortableWithNewTech,NotSatisfiedWithUI,LanguageProblems,NetworkConnectivityTrust,SecurityRisks,MobileServiceProviderPoorPerformance,Motivations,,,,,,,,,,,,,,,,,,,,,,,,
38,2020/12/05 9:47:51 PM GMT+5:30,Female,65,Kalutara,Government Sector,Retired teacher,Married,"30, 001 – 60, 000",Yes,Yes,No,,No,I am not fully aware of Mobile Banking,Monthly - Once,At Bank,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,,,,,,,,,,,,,,,,,,,,,,,
39,2020/12/05 9:50:49 PM GMT+5:30,Male,67,Kalutara,Unemployed,A / L,Married,,Yes,Yes,No,,No,My phone does not support it,,At Bank,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,,,,,,,,,,,,,,,,,,,,,,,
40,2020/12/05 9:51:05 PM GMT+5:30,Female,27,Galle,Unemployed,Post Graduate,Unmarried,"Below 10, 000",Yes,Yes,No,"Media (Television, Radio, Newspaper)",No,Transactional risk;I am not fully aware of Mobile Banking,Weekly - Several times,At Bank,Disagree,Neutral,Disagree,Neutral,Neutral,Strongly Agree,Disagree,Strongly Agree,Reduced risks involved in my transactions;Increased awareness on mobile banking;Improved User Interface,,,,,,,,,,,,,,,,,,,,,,,,
41,2020/12/05 9:57:28 PM GMT+5:30,Male,20,Kegalle,Unemployed,Diploma,Unmarried,"10, 000 – 30, 000",Yes,,No,"Media (Television, Radio, Newspaper)",No,Transactional risk,Monthly - Several times,At Bank,Disagree,Neutral,Disagree,Neutral,Disagree,Agree,Neutral,Agree,Reduced risks involved in my transactions,,,,,,,,,,,,,,,,,,,,,,,,
42,2020/12/05 10:01:21 PM GMT+5:30,Female,31,Kegalle,Government Sector,Graduate,Married,"60, 001 – 100, 000",Yes,Yes,No,"Media (Television, Radio, Newspaper)",No,I am not fully aware of Mobile Banking,Monthly - Several times,ATM (Automatic Teller Machine),Disagree,Neutral,Disagree,Agree,Disagree,Agree,Agree,Agree,Increased awareness on mobile banking,,,,,,,,,,,,,,,,,,,,,,,,
43,2020/12/05 10:04:03 PM GMT+5:30,Male,31,Kegalle,Government Sector,Diploma,Married,"30, 001 – 60, 000",Yes,Yes,Yes,"Media (Television, Radio, Newspaper)",No,Prefer other means like bank directly or internet banking,Monthly - Several times,ATM (Automatic Teller Machine),Disagree,Agree,Agree,Neutral,Disagree,Agree,Agree,Agree,Reduced risks involved in my transactions;Increased awareness on mobile banking,,,,,,,,,,,,,,,,,,,,,,,,
44,2020/12/05 10:05:59 PM GMT+5:30,Female,55,Kegalle,Government Sector,Diploma,Married,"30, 001 – 60, 000",Yes,Yes,No,An Agent,No,My phone does not support it;Transactional risk,Monthly - Several times,At Bank,Disagree,Disagree,Agree,Neutral,Agree,Agree,Agree,Agree,Reduced risks involved in my transactions;Increased awareness on mobile banking,,,,,,,,,,,,,,,,,,,,,,,,
45,2020/12/05 10:08:04 PM GMT+5:30,Male,63,Kegalle,Government Sector,A / L,Married,"30, 001 – 60, 000",Yes,Yes,Yes,An Agent,Yes,Transactional risk,Monthly - Several times,At Bank,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Strongly Agree,Reduced risks involved in my transactions;Increased awareness on mobile banking;Improved User Interface,,,,,,,,,,,,,,,,,,,,,,,,
46,2020/12/05 10:08:17 PM GMT+5:30,Male,24,Colombo,Private Sector,Graduate,Unmarried,"30, 001 – 60, 000",Yes,Yes,Yes,Bank directly,Yes,Transactional risk;Prefer other means like bank directly or internet banking;Setting up Mobile Banking is tiresome / takes time,Monthly - Several times,Online (Internet),Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Reduced risks involved in my transactions;Improved User Interface,,,,,,,,,,,,,,,,,,,,,,,,
47,2020/12/05 10:40:10 PM GMT+5:30,Male,24,Kalutara,Student,Diploma,Unmarried,"10, 000 – 30, 000",Yes,Yes,Yes,Friends or Family,No,Transactional risk,Monthly - Once,At Bank,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Reduced risks involved in my transactions,,,,,,,,,,,,,,,,,,,,,,,,
48,2020/12/05 10:41:22 PM GMT+5:30,Female,28,Puttalam,Government Sector,Post Graduate,Married,"10, 000 – 30, 000",Yes,Yes,No,"Media (Television, Radio, Newspaper)",No,Transactional risk,Monthly - Several times,ATM (Automatic Teller Machine),Neutral,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Reduced risks involved in my transactions,,,,,,,,,,,,,,,,,,,,,,,,
49,2020/12/05 11:16:31 PM GMT+5:30,Male,57,Gampaha,Government Sector,Diploma,Married,"Above 100, 001",Yes,Yes,No,Friends or Family,No,I am not fully aware of Mobile Banking,Weekly - Several times,ATM (Automatic Teller Machine),Strongly Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Reduced risks involved in my transactions;Increased awareness on mobile banking;Improved User Interface,,,,,,,,,,,,,,,,,,,,,,,,
50,2020/12/05 11:18:22 PM GMT+5:30,Female,56,Gampaha,Government Sector,A / L,Married,"30, 001 – 60, 000",Yes,Yes,No,Friends or Family,No,My phone does not support it;Complicated User Interface;I am not fully aware of Mobile Banking,Monthly - Several times,At Bank,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Reduced risks involved in my transactions;Increased awareness on mobile banking;Improved User Interface,,,,,,,,,,,,,,,,,,,,,,,,
51,2020/12/05 11:20:27 PM GMT+5:30,Female,26,Colombo,Private Sector,Graduate,Unmarried,"Below 10, 000",Yes,Yes,Yes,"Media (Television, Radio, Newspaper)",No,Prefer other means like bank directly or internet banking;I am not fully aware of Mobile Banking,Weekly - Several times,Online (Internet),Strongly Disagree,Neutral,Strongly Disagree,Neutral,Disagree,Agree,Agree,Agree,Reduced risks involved in my transactions;Increased awareness on mobile banking;Improved User Interface,,,,,,,,,,,,,,,,,,,,,,,,
52,2020/12/05 11:22:35 PM GMT+5:30,Male,21,Gampaha,Unemployed,A / L,Unmarried,"Below 10, 000",Yes,Yes,Yes,"Media (Television, Radio, Newspaper)",No,Prefer other means like bank directly or internet banking;I am not fully aware of Mobile Banking,Weekly - Several times,ATM (Automatic Teller Machine),Disagree,Neutral,Strongly Disagree,Neutral,Strongly Disagree,Neutral,Agree,Agree,Reduced risks involved in my transactions;Increased awareness on mobile banking;Improved User Interface,,,,,,,,,,,,,,,,,,,,,,,,
